date,client,platform,keyword,rank,suggestion_text,page_url,screenshot_path,source_mode
2025-10-22,抖音,douyin,生涯教练,2,生涯教练方法,https://www.douyin.com/search/生涯教练,,FALLBACK
2025-10-22,抖音,douyin,生涯教练,3,生涯教练技巧,https://www.douyin.com/search/生涯教练,,FALLBACK
2025-10-22,抖音,douyin,职业规划课程,1,职业规划课程教程,https://www.douyin.com/search/职业规划课程,,FALLBACK
2025-10-22,抖音,douyin,职业规划课程,2,职业规划课程方法,https://www.douyin.com/search/职业规划课程,,FALLBACK
2025-10-22,抖音,douyin,职业规划课程,3,职业规划课程技巧,https://www.douyin.com/search/职业规划课程,,FALLBACK
2025-10-22,抖音,douyin,职业测评,1,职业测评教程,https://www.douyin.com/search/职业测评,,FALLBACK
2025-10-22,抖音,douyin,职业测评,2,职业测评方法,https://www.douyin.com/search/职业测评,,FALLBACK
2025-10-22,抖音,douyin,职业测评,3,职业测评技巧,https://www.douyin.com/search/职业测评,,FALLBACK
2025-10-22,抖音,douyin,职场转型,1,职场转型教程,https://www.douyin.com/search/职场转型,,FALLBACK
2025-10-22,抖音,douyin,职场转型,2,职场转型方法,https://www.douyin.com/search/职场转型,,FALLBACK
2025-10-22,抖音,douyin,职场转型,3,职场转型技巧,https://www.douyin.com/search/职场转型,,FALLBACK
2025-10-22,抖音,douyin,职业定位,1,职业定位教程,https://www.douyin.com/search/职业定位,,FALLBACK
2025-10-22,抖音,douyin,职业定位,2,职业定位方法,https://www.douyin.com/search/职业定位,,FALLBACK
2025-10-22,抖音,douyin,职业定位,3,职业定位技巧,https://www.douyin.com/search/职业定位,,FALLBACK
2025-10-22,抖音,douyin,生涯发展,1,生涯发展教程,https://www.douyin.com/search/生涯发展,,FALLBACK
2025-10-22,抖音,douyin,生涯发展,2,生涯发展方法,https://www.douyin.com/search/生涯发展,,FALLBACK
2025-10-22,抖音,douyin,生涯发展,3,生涯发展技巧,https://www.douyin.com/search/生涯发展,,FALLBACK
2025-10-22,抖音,douyin,职业指导师,1,职业指导师教程,https://www.douyin.com/search/职业指导师,,FALLBACK
2025-10-22,抖音,douyin,职业指导师,2,职业指导师方法,https://www.douyin.com/search/职业指导师,,FALLBACK
2025-10-22,抖音,douyin,职业指导师,3,职业指导师技巧,https://www.douyin.com/search/职业指导师,,FALLBACK
2025-10-22,抖音,douyin,职业规划方法,1,职业规划方法教程,https://www.douyin.com/search/职业规划方法,,FALLBACK
2025-10-22,抖音,douyin,职业规划方法,2,职业规划方法方法,https://www.douyin.com/search/职业规划方法,,FALLBACK
2025-10-22,抖音,douyin,职业规划方法,3,职业规划方法技巧,https://www.douyin.com/search/职业规划方法,,FALLBACK
2025-10-22,抖音,douyin,职场规划,1,职场规划教程,https://www.douyin.com/search/职场规划,,FALLBACK
2025-10-22,抖音,douyin,职场规划,2,职场规划方法,https://www.douyin.com/search/职场规划,,FALLBACK
2025-10-22,抖音,douyin,职场规划,3,职场规划技巧,https://www.douyin.com/search/职场规划,,FALLBACK
2025-10-22,抖音,douyin,职业生涯设计,1,职业生涯设计教程,https://www.douyin.com/search/职业生涯设计,,FALLBACK
2025-10-22,抖音,douyin,职业生涯设计,2,职业生涯设计方法,https://www.douyin.com/search/职业生涯设计,,FALLBACK
2025-10-22,抖音,douyin,职业生涯设计,3,职业生涯设计技巧,https://www.douyin.com/search/职业生涯设计,,FALLBACK
2025-10-22,抖音,douyin,职业咨询培训,1,职业咨询培训教程,https://www.douyin.com/search/职业咨询培训,,FALLBACK
2025-10-22,抖音,douyin,职业咨询培训,2,职业咨询培训方法,https://www.douyin.com/search/职业咨询培训,,FALLBACK
2025-10-22,抖音,douyin,职业咨询培训,3,职业咨询培训技巧,https://www.douyin.com/search/职业咨询培训,,FALLBACK
2025-10-22,抖音,douyin,生涯规划师,1,生涯规划师教程,https://www.douyin.com/search/生涯规划师,,FALLBACK
2025-10-22,抖音,douyin,生涯规划师,2,生涯规划师方法,https://www.douyin.com/search/生涯规划师,,FALLBACK
2025-10-22,抖音,douyin,生涯规划师,3,生涯规划师技巧,https://www.douyin.com/search/生涯规划师,,FALLBACK
2025-10-22,抖音,douyin,职业规划工具,1,职业规划工具教程,https://www.douyin.com/search/职业规划工具,,FALLBACK
2025-10-22,抖音,douyin,职业规划工具,2,职业规划工具方法,https://www.douyin.com/search/职业规划工具,,FALLBACK
2025-10-22,抖音,douyin,职业规划工具,3,职业规划工具技巧,https://www.douyin.com/search/职业规划工具,,FALLBACK
2025-10-22,抖音,douyin,职场发展,1,职场发展教程,https://www.douyin.com/search/职场发展,,FALLBACK
2025-10-22,抖音,douyin,职场发展,2,职场发展方法,https://www.douyin.com/search/职场发展,,FALLBACK
2025-10-22,抖音,douyin,职场发展,3,职场发展技巧,https://www.douyin.com/search/职场发展,,FALLBACK
2025-10-22,抖音,douyin,职业能力提升,1,职业能力提升教程,https://www.douyin.com/search/职业能力提升,,FALLBACK
2025-10-22,抖音,douyin,职业能力提升,2,职业能力提升方法,https://www.douyin.com/search/职业能力提升,,FALLBACK
2025-10-22,抖音,douyin,职业能力提升,3,职业能力提升技巧,https://www.douyin.com/search/职业能力提升,,FALLBACK
